SGD_Momentumresult
nsamples=512, batch_size=64, epoch=100, lr=0.012
initial Wa=0.10000000149011612, Wb=1.7999999523162842
updates=1, Epoch=0, minibatch=0, loss=0.26047, Wa=0.1000, Wb=1.8000, unitvecWa=0.00000, unitvecWb=0.00000, eff_stepsize=0.00000, dWa=-0.09704, dWb=0.88797, VdWa=0.00000, VdWb=0.00000, sqrt_SdWa=0.00000, sqrt_SdWb=0.00000
updates=22, Epoch=2, minibatch=5, loss=0.06107, Wa=3.3598, Wb=0.8909, unitvecWa=0.00000, unitvecWb=0.00000, eff_stepsize=0.00000, dWa=0.00124, dWb=-0.25146, VdWa=0.00000, VdWb=0.00000, sqrt_SdWa=0.00000, sqrt_SdWb=0.00000
updates=23, Epoch=2, minibatch=6, loss=0.08705, Wa=3.4087, Wb=0.8596, unitvecWa=0.00000, unitvecWb=0.00000, eff_stepsize=0.00000, dWa=0.00131, dWb=-0.33830, VdWa=0.00000, VdWb=0.00000, sqrt_SdWa=0.00000, sqrt_SdWb=0.00000
updates=24, Epoch=2, minibatch=7, loss=0.07922, Wa=3.4527, Wb=0.8354, unitvecWa=0.00000, unitvecWb=0.00000, eff_stepsize=0.00000, dWa=0.00292, dWb=-0.18997, VdWa=0.00000, VdWb=0.00000, sqrt_SdWa=0.00000, sqrt_SdWb=0.00000
updates=25, Epoch=3, minibatch=0, loss=0.09897, Wa=3.4923, Wb=0.8159, unitvecWa=0.00000, unitvecWb=0.00000, eff_stepsize=0.00000, dWa=0.00253, dWb=-0.26979, VdWa=0.00000, VdWb=0.00000, sqrt_SdWa=0.00000, sqrt_SdWb=0.00000
updates=26, Epoch=3, minibatch=1, loss=0.09075, Wa=3.5279, Wb=0.8017, unitvecWa=0.00000, unitvecWb=0.00000, eff_stepsize=0.00000, dWa=0.00060, dWb=-0.34966, VdWa=0.00000, VdWb=0.00000, sqrt_SdWa=0.00000, sqrt_SdWb=0.00000
updates=27, Epoch=3, minibatch=2, loss=0.10584, Wa=3.5600, Wb=0.7930, unitvecWa=0.00000, unitvecWb=0.00000, eff_stepsize=0.00000, dWa=0.00049, dWb=-0.39231, VdWa=0.00000, VdWb=0.00000, sqrt_SdWa=0.00000, sqrt_SdWb=0.00000
updates=28, Epoch=3, minibatch=3, loss=0.11269, Wa=3.5888, Wb=0.7899, unitvecWa=0.00000, unitvecWb=0.00000, eff_stepsize=0.00000, dWa=0.00042, dWb=-0.43159, VdWa=0.00000, VdWb=0.00000, sqrt_SdWa=0.00000, sqrt_SdWb=0.00000
updates=29, Epoch=3, minibatch=4, loss=0.11346, Wa=3.6147, Wb=0.7923, unitvecWa=0.00000, unitvecWb=0.00000, eff_stepsize=0.00000, dWa=0.00072, dWb=-0.42824, VdWa=0.00000, VdWb=0.00000, sqrt_SdWa=0.00000, sqrt_SdWb=0.00000
updates=30, Epoch=3, minibatch=5, loss=0.11343, Wa=3.6381, Wb=0.7996, unitvecWa=0.00000, unitvecWb=0.00000, eff_stepsize=0.00000, dWa=0.00134, dWb=-0.38797, VdWa=0.00000, VdWb=0.00000, sqrt_SdWa=0.00000, sqrt_SdWb=0.00000
updates=31, Epoch=3, minibatch=6, loss=0.09125, Wa=3.6590, Wb=0.8108, unitvecWa=0.00000, unitvecWb=0.00000, eff_stepsize=0.00000, dWa=0.00130, dWb=-0.29890, VdWa=0.00000, VdWb=0.00000, sqrt_SdWa=0.00000, sqrt_SdWb=0.00000
updates=32, Epoch=3, minibatch=7, loss=0.09885, Wa=3.6779, Wb=0.8245, unitvecWa=0.00000, unitvecWb=0.00000, eff_stepsize=0.00000, dWa=0.00157, dWb=-0.32300, VdWa=0.00000, VdWb=0.00000, sqrt_SdWa=0.00000, sqrt_SdWb=0.00000
updates=33, Epoch=4, minibatch=0, loss=0.08288, Wa=3.6949, Wb=0.8407, unitvecWa=0.00000, unitvecWb=0.00000, eff_stepsize=0.00000, dWa=0.00062, dWb=-0.33305, VdWa=0.00000, VdWb=0.00000, sqrt_SdWa=0.00000, sqrt_SdWb=0.00000
updates=34, Epoch=4, minibatch=1, loss=0.08664, Wa=3.7101, Wb=0.8593, unitvecWa=0.00000, unitvecWb=0.00000, eff_stepsize=0.00000, dWa=0.00226, dWb=-0.25579, VdWa=0.00000, VdWb=0.00000, sqrt_SdWa=0.00000, sqrt_SdWb=0.00000
updates=35, Epoch=4, minibatch=2, loss=0.06613, Wa=3.7238, Wb=0.8791, unitvecWa=0.00000, unitvecWb=0.00000, eff_stepsize=0.00000, dWa=0.00170, dWb=-0.21908, VdWa=0.00000, VdWb=0.00000, sqrt_SdWa=0.00000, sqrt_SdWb=0.00000
updates=36, Epoch=4, minibatch=3, loss=0.08618, Wa=3.7362, Wb=0.8995, unitvecWa=0.00000, unitvecWb=0.00000, eff_stepsize=0.00000, dWa=0.00388, dWb=-0.12977, VdWa=0.00000, VdWb=0.00000, sqrt_SdWa=0.00000, sqrt_SdWb=0.00000
updates=37, Epoch=4, minibatch=4, loss=0.08442, Wa=3.7472, Wb=0.9195, unitvecWa=0.00000, unitvecWb=0.00000, eff_stepsize=0.00000, dWa=0.00417, dWb=-0.12095, VdWa=0.00000, VdWb=0.00000, sqrt_SdWa=0.00000, sqrt_SdWb=0.00000
updates=38, Epoch=4, minibatch=5, loss=0.07781, Wa=3.7571, Wb=0.9389, unitvecWa=0.00000, unitvecWb=0.00000, eff_stepsize=0.00000, dWa=0.00405, dWb=-0.08215, VdWa=0.00000, VdWb=0.00000, sqrt_SdWa=0.00000, sqrt_SdWb=0.00000
updates=39, Epoch=4, minibatch=6, loss=0.07546, Wa=3.7659, Wb=0.9574, unitvecWa=0.00000, unitvecWb=0.00000, eff_stepsize=0.00000, dWa=0.00449, dWb=-0.02870, VdWa=0.00000, VdWb=0.00000, sqrt_SdWa=0.00000, sqrt_SdWb=0.00000
updates=40, Epoch=4, minibatch=7, loss=0.06584, Wa=3.7738, Wb=0.9743, unitvecWa=0.00000, unitvecWb=0.00000, eff_stepsize=0.00000, dWa=0.00380, dWb=-0.07162, VdWa=0.00000, VdWb=0.00000, sqrt_SdWa=0.00000, sqrt_SdWb=0.00000
updates=41, Epoch=5, minibatch=0, loss=0.09689, Wa=3.7809, Wb=0.9904, unitvecWa=0.00000, unitvecWb=0.00000, eff_stepsize=0.00000, dWa=0.00716, dWb=0.08551, VdWa=0.00000, VdWb=0.00000, sqrt_SdWa=0.00000, sqrt_SdWb=0.00000
updates=42, Epoch=5, minibatch=1, loss=0.06337, Wa=3.7872, Wb=1.0039, unitvecWa=0.00000, unitvecWb=0.00000, eff_stepsize=0.00000, dWa=0.00494, dWb=0.05444, VdWa=0.00000, VdWb=0.00000, sqrt_SdWa=0.00000, sqrt_SdWb=0.00000
updates=43, Epoch=5, minibatch=2, loss=0.07323, Wa=3.7928, Wb=1.0154, unitvecWa=0.00000, unitvecWb=0.00000, eff_stepsize=0.00000, dWa=0.00457, dWb=-0.02846, VdWa=0.00000, VdWb=0.00000, sqrt_SdWa=0.00000, sqrt_SdWb=0.00000
updates=44, Epoch=5, minibatch=3, loss=0.05679, Wa=3.7978, Wb=1.0260, unitvecWa=0.00000, unitvecWb=0.00000, eff_stepsize=0.00000, dWa=0.00377, dWb=-0.04950, VdWa=0.00000, VdWb=0.00000, sqrt_SdWa=0.00000, sqrt_SdWb=0.00000
updates=45, Epoch=5, minibatch=4, loss=0.03920, Wa=3.8022, Wb=1.0362, unitvecWa=0.00000, unitvecWb=0.00000, eff_stepsize=0.00000, dWa=0.00342, dWb=0.04286, VdWa=0.00000, VdWb=0.00000, sqrt_SdWa=0.00000, sqrt_SdWb=0.00000
updates=46, Epoch=5, minibatch=5, loss=0.06664, Wa=3.8061, Wb=1.0449, unitvecWa=0.00000, unitvecWb=0.00000, eff_stepsize=0.00000, dWa=0.00594, dWb=0.11427, VdWa=0.00000, VdWb=0.00000, sqrt_SdWa=0.00000, sqrt_SdWb=0.00000
updates=47, Epoch=5, minibatch=6, loss=0.09002, Wa=3.8096, Wb=1.0513, unitvecWa=0.00000, unitvecWb=0.00000, eff_stepsize=0.00000, dWa=0.00757, dWb=0.15863, VdWa=0.00000, VdWb=0.00000, sqrt_SdWa=0.00000, sqrt_SdWb=0.00000
updates=48, Epoch=5, minibatch=7, loss=0.09020, Wa=3.8127, Wb=1.0552, unitvecWa=0.00000, unitvecWb=0.00000, eff_stepsize=0.00000, dWa=0.00857, dWb=0.22998, VdWa=0.00000, VdWb=0.00000, sqrt_SdWa=0.00000, sqrt_SdWb=0.00000
updates=49, Epoch=6, minibatch=0, loss=0.04990, Wa=3.8153, Wb=1.0559, unitvecWa=0.00000, unitvecWb=0.00000, eff_stepsize=0.00000, dWa=0.00360, dWb=-0.02601, VdWa=0.00000, VdWb=0.00000, sqrt_SdWa=0.00000, sqrt_SdWb=0.00000
updates=50, Epoch=6, minibatch=1, loss=0.06801, Wa=3.8176, Wb=1.0569, unitvecWa=0.00000, unitvecWb=0.00000, eff_stepsize=0.00000, dWa=0.00678, dWb=0.18378, VdWa=0.00000, VdWb=0.00000, sqrt_SdWa=0.00000, sqrt_SdWb=0.00000
updates=51, Epoch=6, minibatch=2, loss=0.09486, Wa=3.8197, Wb=1.0556, unitvecWa=0.00000, unitvecWb=0.00000, eff_stepsize=0.00000, dWa=0.00844, dWb=0.21914, VdWa=0.00000, VdWb=0.00000, sqrt_SdWa=0.00000, sqrt_SdWb=0.00000
updates=52, Epoch=6, minibatch=3, loss=0.07795, Wa=3.8214, Wb=1.0518, unitvecWa=0.00000, unitvecWb=0.00000, eff_stepsize=0.00000, dWa=0.00641, dWb=0.13325, VdWa=0.00000, VdWb=0.00000, sqrt_SdWa=0.00000, sqrt_SdWb=0.00000
updates=53, Epoch=6, minibatch=4, loss=0.09134, Wa=3.8228, Wb=1.0467, unitvecWa=0.00000, unitvecWb=0.00000, eff_stepsize=0.00000, dWa=0.00806, dWb=0.19985, VdWa=0.00000, VdWb=0.00000, sqrt_SdWa=0.00000, sqrt_SdWb=0.00000
updates=54, Epoch=6, minibatch=5, loss=0.09172, Wa=3.8241, Wb=1.0398, unitvecWa=0.00000, unitvecWb=0.00000, eff_stepsize=0.00000, dWa=0.00706, dWb=0.13127, VdWa=0.00000, VdWb=0.00000, sqrt_SdWa=0.00000, sqrt_SdWb=0.00000
updates=55, Epoch=6, minibatch=6, loss=0.05336, Wa=3.8251, Wb=1.0320, unitvecWa=0.00000, unitvecWb=0.00000, eff_stepsize=0.00000, dWa=0.00392, dWb=0.00810, VdWa=0.00000, VdWb=0.00000, sqrt_SdWa=0.00000, sqrt_SdWb=0.00000
updates=56, Epoch=6, minibatch=7, loss=0.06139, Wa=3.8259, Wb=1.0248, unitvecWa=0.00000, unitvecWb=0.00000, eff_stepsize=0.00000, dWa=0.00451, dWb=0.03265, VdWa=0.00000, VdWb=0.00000, sqrt_SdWa=0.00000, sqrt_SdWb=0.00000
updates=57, Epoch=7, minibatch=0, loss=0.07307, Wa=3.8267, Wb=1.0180, unitvecWa=0.00000, unitvecWb=0.00000, eff_stepsize=0.00000, dWa=0.00488, dWb=0.00308, VdWa=0.00000, VdWb=0.00000, sqrt_SdWa=0.00000, sqrt_SdWb=0.00000
updates=58, Epoch=7, minibatch=1, loss=0.04131, Wa=3.8273, Wb=1.0118, unitvecWa=0.00000, unitvecWb=0.00000, eff_stepsize=0.00000, dWa=0.00264, dWb=-0.05379, VdWa=0.00000, VdWb=0.00000, sqrt_SdWa=0.00000, sqrt_SdWb=0.00000
updates=59, Epoch=7, minibatch=2, loss=0.07621, Wa=3.8278, Wb=1.0069, unitvecWa=0.00000, unitvecWb=0.00000, eff_stepsize=0.00000, dWa=0.00612, dWb=0.10530, VdWa=0.00000, VdWb=0.00000, sqrt_SdWa=0.00000, sqrt_SdWb=0.00000
updates=60, Epoch=7, minibatch=3, loss=0.06773, Wa=3.8281, Wb=1.0013, unitvecWa=0.00000, unitvecWb=0.00000, eff_stepsize=0.00000, dWa=0.00409, dWb=-0.04320, VdWa=0.00000, VdWb=0.00000, sqrt_SdWa=0.00000, sqrt_SdWb=0.00000
updates=61, Epoch=7, minibatch=4, loss=0.05260, Wa=3.8284, Wb=0.9967, unitvecWa=0.00000, unitvecWb=0.00000, eff_stepsize=0.00000, dWa=0.00479, dWb=0.10089, VdWa=0.00000, VdWb=0.00000, sqrt_SdWa=0.00000, sqrt_SdWb=0.00000
updates=62, Epoch=7, minibatch=5, loss=0.09161, Wa=3.8286, Wb=0.9913, unitvecWa=0.00000, unitvecWb=0.00000, eff_stepsize=0.00000, dWa=0.00618, dWb=0.03195, VdWa=0.00000, VdWb=0.00000, sqrt_SdWa=0.00000, sqrt_SdWb=0.00000
updates=63, Epoch=7, minibatch=6, loss=0.07661, Wa=3.8288, Wb=0.9861, unitvecWa=0.00000, unitvecWb=0.00000, eff_stepsize=0.00000, dWa=0.00494, dWb=0.00257, VdWa=0.00000, VdWb=0.00000, sqrt_SdWa=0.00000, sqrt_SdWb=0.00000
updates=64, Epoch=7, minibatch=7, loss=0.08074, Wa=3.8288, Wb=0.9814, unitvecWa=0.00000, unitvecWb=0.00000, eff_stepsize=0.00000, dWa=0.00546, dWb=0.02430, VdWa=0.00000, VdWb=0.00000, sqrt_SdWa=0.00000, sqrt_SdWb=0.00000
updates=65, Epoch=8, minibatch=0, loss=0.07196, Wa=3.8288, Wb=0.9769, unitvecWa=0.00000, unitvecWb=0.00000, eff_stepsize=0.00000, dWa=0.00458, dWb=-0.00533, VdWa=0.00000, VdWb=0.00000, sqrt_SdWa=0.00000, sqrt_SdWb=0.00000
updates=66, Epoch=8, minibatch=1, loss=0.07487, Wa=3.8287, Wb=0.9729, unitvecWa=0.00000, unitvecWb=0.00000, eff_stepsize=0.00000, dWa=0.00565, dWb=0.06895, VdWa=0.00000, VdWb=0.00000, sqrt_SdWa=0.00000, sqrt_SdWb=0.00000
updates=67, Epoch=8, minibatch=2, loss=0.04047, Wa=3.8285, Wb=0.9684, unitvecWa=0.00000, unitvecWb=0.00000, eff_stepsize=0.00000, dWa=0.00118, dWb=-0.18487, VdWa=0.00000, VdWb=0.00000, sqrt_SdWa=0.00000, sqrt_SdWb=0.00000
updates=68, Epoch=8, minibatch=3, loss=0.07674, Wa=3.8284, Wb=0.9667, unitvecWa=0.00000, unitvecWb=0.00000, eff_stepsize=0.00000, dWa=0.00491, dWb=-0.00386, VdWa=0.00000, VdWb=0.00000, sqrt_SdWa=0.00000, sqrt_SdWb=0.00000
updates=69, Epoch=8, minibatch=4, loss=0.07457, Wa=3.8282, Wb=0.9651, unitvecWa=0.00000, unitvecWb=0.00000, eff_stepsize=0.00000, dWa=0.00502, dWb=0.02232, VdWa=0.00000, VdWb=0.00000, sqrt_SdWa=0.00000, sqrt_SdWb=0.00000
updates=70, Epoch=8, minibatch=5, loss=0.09729, Wa=3.8280, Wb=0.9635, unitvecWa=0.00000, unitvecWb=0.00000, eff_stepsize=0.00000, dWa=0.00570, dWb=-0.01534, VdWa=0.00000, VdWb=0.00000, sqrt_SdWa=0.00000, sqrt_SdWb=0.00000
updates=71, Epoch=8, minibatch=6, loss=0.05978, Wa=3.8277, Wb=0.9622, unitvecWa=0.00000, unitvecWb=0.00000, eff_stepsize=0.00000, dWa=0.00199, dWb=-0.18815, VdWa=0.00000, VdWb=0.00000, sqrt_SdWa=0.00000, sqrt_SdWb=0.00000
updates=72, Epoch=8, minibatch=7, loss=0.06954, Wa=3.8275, Wb=0.9632, unitvecWa=0.00000, unitvecWb=0.00000, eff_stepsize=0.00000, dWa=0.00434, dWb=-0.01399, VdWa=0.00000, VdWb=0.00000, sqrt_SdWa=0.00000, sqrt_SdWb=0.00000
updates=73, Epoch=9, minibatch=0, loss=0.06896, Wa=3.8272, Wb=0.9644, unitvecWa=0.00000, unitvecWb=0.00000, eff_stepsize=0.00000, dWa=0.00405, dWb=-0.02518, VdWa=0.00000, VdWb=0.00000, sqrt_SdWa=0.00000, sqrt_SdWb=0.00000
updates=74, Epoch=9, minibatch=1, loss=0.05206, Wa=3.8268, Wb=0.9657, unitvecWa=0.00000, unitvecWb=0.00000, eff_stepsize=0.00000, dWa=0.00213, dWb=-0.15894, VdWa=0.00000, VdWb=0.00000, sqrt_SdWa=0.00000, sqrt_SdWb=0.00000
updates=75, Epoch=9, minibatch=2, loss=0.05399, Wa=3.8265, Wb=0.9688, unitvecWa=0.00000, unitvecWb=0.00000, eff_stepsize=0.00000, dWa=0.00305, dWb=-0.05934, VdWa=0.00000, VdWb=0.00000, sqrt_SdWa=0.00000, sqrt_SdWb=0.00000
updates=76, Epoch=9, minibatch=3, loss=0.08028, Wa=3.8262, Wb=0.9723, unitvecWa=0.00000, unitvecWb=0.00000, eff_stepsize=0.00000, dWa=0.00577, dWb=0.06780, VdWa=0.00000, VdWb=0.00000, sqrt_SdWa=0.00000, sqrt_SdWb=0.00000
updates=77, Epoch=9, minibatch=4, loss=0.06648, Wa=3.8259, Wb=0.9746, unitvecWa=0.00000, unitvecWb=0.00000, eff_stepsize=0.00000, dWa=0.00329, dWb=-0.11053, VdWa=0.00000, VdWb=0.00000, sqrt_SdWa=0.00000, sqrt_SdWb=0.00000
updates=78, Epoch=9, minibatch=5, loss=0.08630, Wa=3.8255, Wb=0.9781, unitvecWa=0.00000, unitvecWb=0.00000, eff_stepsize=0.00000, dWa=0.00552, dWb=0.00918, VdWa=0.00000, VdWb=0.00000, sqrt_SdWa=0.00000, sqrt_SdWb=0.00000
updates=79, Epoch=9, minibatch=6, loss=0.07950, Wa=3.8251, Wb=0.9810, unitvecWa=0.00000, unitvecWb=0.00000, eff_stepsize=0.00000, dWa=0.00546, dWb=0.00797, VdWa=0.00000, VdWb=0.00000, sqrt_SdWa=0.00000, sqrt_SdWb=0.00000
updates=80, Epoch=9, minibatch=7, loss=0.07662, Wa=3.8247, Wb=0.9836, unitvecWa=0.00000, unitvecWb=0.00000, eff_stepsize=0.00000, dWa=0.00532, dWb=0.04397, VdWa=0.00000, VdWb=0.00000, sqrt_SdWa=0.00000, sqrt_SdWb=0.00000
updates=81, Epoch=10, minibatch=0, loss=0.07968, Wa=3.8243, Wb=0.9854, unitvecWa=0.00000, unitvecWb=0.00000, eff_stepsize=0.00000, dWa=0.00554, dWb=0.03696, VdWa=0.00000, VdWb=0.00000, sqrt_SdWa=0.00000, sqrt_SdWb=0.00000
updates=82, Epoch=10, minibatch=1, loss=0.09164, Wa=3.8238, Wb=0.9866, unitvecWa=0.00000, unitvecWb=0.00000, eff_stepsize=0.00000, dWa=0.00659, dWb=0.09036, VdWa=0.00000, VdWb=0.00000, sqrt_SdWa=0.00000, sqrt_SdWb=0.00000
updates=83, Epoch=10, minibatch=2, loss=0.04763, Wa=3.8233, Wb=0.9866, unitvecWa=0.00000, unitvecWb=0.00000, eff_stepsize=0.00000, dWa=0.00204, dWb=-0.13416, VdWa=0.00000, VdWb=0.00000, sqrt_SdWa=0.00000, sqrt_SdWb=0.00000
updates=84, Epoch=10, minibatch=3, loss=0.05805, Wa=3.8229, Wb=0.9882, unitvecWa=0.00000, unitvecWb=0.00000, eff_stepsize=0.00000, dWa=0.00347, dWb=-0.04675, VdWa=0.00000, VdWb=0.00000, sqrt_SdWa=0.00000, sqrt_SdWb=0.00000
updates=85, Epoch=10, minibatch=4, loss=0.05779, Wa=3.8224, Wb=0.9901, unitvecWa=0.00000, unitvecWb=0.00000, eff_stepsize=0.00000, dWa=0.00344, dWb=-0.05904, VdWa=0.00000, VdWb=0.00000, sqrt_SdWa=0.00000, sqrt_SdWb=0.00000
updates=86, Epoch=10, minibatch=5, loss=0.06330, Wa=3.8219, Wb=0.9926, unitvecWa=0.00000, unitvecWb=0.00000, eff_stepsize=0.00000, dWa=0.00402, dWb=-0.03961, VdWa=0.00000, VdWb=0.00000, sqrt_SdWa=0.00000, sqrt_SdWb=0.00000
updates=87, Epoch=10, minibatch=6, loss=0.06814, Wa=3.8215, Wb=0.9954, unitvecWa=0.00000, unitvecWb=0.00000, eff_stepsize=0.00000, dWa=0.00453, dWb=0.00397, VdWa=0.00000, VdWb=0.00000, sqrt_SdWa=0.00000, sqrt_SdWb=0.00000
updates=88, Epoch=10, minibatch=7, loss=0.09572, Wa=3.8210, Wb=0.9978, unitvecWa=0.00000, unitvecWb=0.00000, eff_stepsize=0.00000, dWa=0.00815, dWb=0.18110, VdWa=0.00000, VdWb=0.00000, sqrt_SdWa=0.00000, sqrt_SdWb=0.00000
updates=89, Epoch=11, minibatch=0, loss=0.08162, Wa=3.8205, Wb=0.9978, unitvecWa=0.00000, unitvecWb=0.00000, eff_stepsize=0.00000, dWa=0.00570, dWb=0.07677, VdWa=0.00000, VdWb=0.00000, sqrt_SdWa=0.00000, sqrt_SdWb=0.00000
updates=90, Epoch=11, minibatch=1, loss=0.08218, Wa=3.8200, Wb=0.9968, unitvecWa=0.00000, unitvecWb=0.00000, eff_stepsize=0.00000, dWa=0.00624, dWb=0.07449, VdWa=0.00000, VdWb=0.00000, sqrt_SdWa=0.00000, sqrt_SdWb=0.00000
updates=91, Epoch=11, minibatch=2, loss=0.07659, Wa=3.8194, Wb=0.9951, unitvecWa=0.00000, unitvecWb=0.00000, eff_stepsize=0.00000, dWa=0.00523, dWb=0.02660, VdWa=0.00000, VdWb=0.00000, sqrt_SdWa=0.00000, sqrt_SdWb=0.00000
